TID: [-1234] [2025-04-05 22:37:15,973] [ee7af9de-2cfc-4a85-a61c-6c45adee8b76]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 22:37:15,984] [ee7af9de-2cfc-4a85-a61c-6c45adee8b76]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 22:37:15,986] [ee7af9de-2cfc-4a85-a61c-6c45adee8b76]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=024097013182 Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-05 22:37:15,987] [ee7af9de-2cfc-4a85-a61c-6c45adee8b76]  INFO {AUDIT_LOG} - Initiator : 024097013182 | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "40e7e82f-7f9f-42d6-a514-0ffd41d65f33","ServiceProviderName" : "IOC_SSO","RequestType" : "oidc","RelyingParty" : "HtaKU1QO5ljmFXCnylLjrgG5idYa","StepNo" : "1","User Agent" : "null","RemoteAddress" : "10.151.131.171","UserStoreDomain" : "PRIMARY" } | Result : Failed 
TID: [-1234] [2025-04-05 22:37:15,987] [ee7af9de-2cfc-4a85-a61c-6c45adee8b76]  WARN {AUDIT_LOG} - Initiator : 024097013182@carbon.super | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:BasicAuthenticator } | Result : Failure 
TID: [-1234] [2025-04-05 22:37:57,332] [e395313d-3579-43d8-911a-8180198e7272]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 22:37:57,349] [e395313d-3579-43d8-911a-8180198e7272]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 22:37:57,351] [e395313d-3579-43d8-911a-8180198e7272]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=024097013182 Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-05 22:37:57,352] [e395313d-3579-43d8-911a-8180198e7272]  INFO {AUDIT_LOG} - Initiator : 024097013182 | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "40e7e82f-7f9f-42d6-a514-0ffd41d65f33","ServiceProviderName" : "IOC_SSO","RequestType" : "oidc","RelyingParty" : "HtaKU1QO5ljmFXCnylLjrgG5idYa","StepNo" : "1","User Agent" : "null","RemoteAddress" : "10.151.131.171","UserStoreDomain" : "PRIMARY" } | Result : Failed 
TID: [-1234] [2025-04-05 22:37:57,353] [e395313d-3579-43d8-911a-8180198e7272]  WARN {AUDIT_LOG} - Initiator : 024097013182@carbon.super | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:BasicAuthenticator } | Result : Failure 
TID: [-1234] [2025-04-05 22:40:47,622] [471c5c9b-6b3d-4994-aa5e-e79081d693d3]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 22:40:47,635] [471c5c9b-6b3d-4994-aa5e-e79081d693d3]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claim Value":"024097013182","Users":["024097013182"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 22:40:47,637] [471c5c9b-6b3d-4994-aa5e-e79081d693d3]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=024097013182 Data={"RemoteAddress":"10.151.131.171","ServiceProviderName":"IOC_SSO","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2025-04-05 22:40:47,638] [471c5c9b-6b3d-4994-aa5e-e79081d693d3]  INFO {AUDIT_LOG} - Initiator : 024097013182 | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "40e7e82f-7f9f-42d6-a514-0ffd41d65f33","ServiceProviderName" : "IOC_SSO","RequestType" : "oidc","RelyingParty" : "HtaKU1QO5ljmFXCnylLjrgG5idYa","StepNo" : "1","User Agent" : "null","RemoteAddress" : "10.151.131.171","UserStoreDomain" : "PRIMARY" } | Result : Failed 
TID: [-1234] [2025-04-05 22:40:47,638] [471c5c9b-6b3d-4994-aa5e-e79081d693d3]  WARN {AUDIT_LOG} - Initiator : 024097013182@carbon.super | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:BasicAuthenticator } | Result : Failure 
TID: [-1234] [2025-04-05 23:56:56,099] [890da2fa-3f80-466e-be77-565aa35dca1e]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","Claim Value":"admin_integrated","Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 23:56:56,100] [2a009ac4-0efe-4c65-b52e-19b67f3badac]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","Claim Value":"admin_integrated","Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 23:56:56,107] [890da2fa-3f80-466e-be77-565aa35dca1e]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","Claim Value":"admin_integrated","Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 23:56:56,107] [890da2fa-3f80-466e-be77-565aa35dca1e]  INFO {AUDIT_LOG} - Initiator : admin_integrated | Action : PostTokenIssue | Target : PasswordGrantAuditLogger | Data : { "AuthenticatedUser" : "N/A","AuthenticatedUserStoreDomain" : "N/A","AuthenticatedUserTenantDomain" : "N/A","ServiceProvider" : "iworkplace","RequestType" : "oidc","RelyingParty" : "zfblNd519IstZFLnRGwtasr8iWwa" } | Result : Failed 
TID: [-1234] [2025-04-05 23:56:56,108] [2a009ac4-0efe-4c65-b52e-19b67f3badac]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-List Target=null Data={"RemoteAddress":"10.151.131.171","Claim Value":"admin_integrated","Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2025-04-05 23:56:56,109] [2a009ac4-0efe-4c65-b52e-19b67f3badac]  INFO {AUDIT_LOG} - Initiator : admin_integrated | Action : PostTokenIssue | Target : PasswordGrantAuditLogger | Data : { "AuthenticatedUser" : "N/A","AuthenticatedUserStoreDomain" : "N/A","AuthenticatedUserTenantDomain" : "N/A","ServiceProvider" : "iworkplace","RequestType" : "oidc","RelyingParty" : "zfblNd519IstZFLnRGwtasr8iWwa" } | Result : Failed 
